dir_rel,file_count,total_size_bytes,total_size_mb
tools/codex/worktrees/D_validation/tools/codex/contracts/factory,6,95268,0.09
tools/codex/worktrees/Z_aggregator/tools/codex/contracts/factory,6,95268,0.09
tools/codex/prompts/20260305_092736_F9A0,9,92445,0.09
tools/codex/worktrees/Z_aggregator/tools/codex/factory/tests,20,91884,0.09
tools/codex/_triage/snapshots/SNAP_20260226_1/BEFORE/tools/codex/factory/tests,20,91499,0.09
tools/codex/worktrees/A_core/tools/codex/factory/tests,20,91497,0.09
tools/codex/worktrees/B_tooling/tools/codex/factory/tests,20,91497,0.09
tools/codex/worktrees/C_features/tools/codex/factory/tests,20,91497,0.09
tools/codex/worktrees/D_validation/tools/codex/factory/tests,20,91497,0.09
tools/_local/data_sims/20260301_095653/degraded_seed77,2,89903,0.09
tools/infra/cloudflare,11,88930,0.08
tools/codex/Z_aggregator/RUN_20260223_191411,5,87800,0.08
tools/codex/Z_aggregator/RUN_20260223_191403,5,87035,0.08
tools/codex/runs/20260228_164549_2F73/C_features/FILES/apps/keystone/components/pitch/__tests__,21,86820,0.08
_attic/docs_dump/_root_archive/20260301_014802/_hitech_commit_backup/phase1_20260218_224436,4,86219,0.08
tools/hos/launcher,6,82337,0.08
tools/codex/worktrees/B_tooling/tools/hos/launcher,9,80916,0.08
tools/_local/data_sims/20260301_095840/spike_seed999,2,79470,0.08
tools/_local/data_sims/20260301_095325/normal_seed12345/api_mock,3,79260,0.08
tools/codex/worktrees/A_core/tools/hos/launcher,5,78838,0.08
tools/codex/worktrees/C_features/tools/hos/launcher,5,78838,0.08
tools/codex/worktrees/D_validation/tools/hos/launcher,5,78838,0.08
tools/codex/worktrees/Z_aggregator/tools/hos/launcher,5,78838,0.08
tools/codex/worktrees/B_tooling/apps/keystone/components/pitch,30,78005,0.07
apps/keystone/components/pitch,27,75918,0.07
services/core-api/src/__tests__/fixtures,1,71581,0.07
tools/codex/worktrees/A_core/services/core-api/src/__tests__/fixtures,1,71581,0.07
tools/codex/worktrees/B_tooling/services/core-api/src/__tests__/fixtures,1,71581,0.07
tools/codex/worktrees/C_features/services/core-api/src/__tests__/fixtures,1,71581,0.07
tools/codex/worktrees/D_validation/services/core-api/src/__tests__/fixtures,1,71581,0.07
tools/codex/worktrees/Z_aggregator/services/core-api/src/__tests__/fixtures,1,71581,0.07
tools/codex/_triage/snapshots/SNAP_20260226_1/BEFORE/services/core-api/src/__tests__/fixtures,1,71581,0.07
packages/contracts/src/domain/pitch,7,69940,0.07
tools/codex/prompts/20260304_174651_DBC8,9,66904,0.06
tools/_local/data_sims/20260301_095840/spike_seed999/api_mock,3,66163,0.06
tools/codex/worktrees/B_tooling/packages/contracts/src/domain/pitch,7,65869,0.06
tools/codex/runs/20260301_001517_5EE0/A_core/FILES/packages/contracts/src/domain/pitch,6,65559,0.06
tools/codex/runs/20260301_010535_E0B1/A_core/FILES/packages/contracts/src/domain/pitch,6,65559,0.06
tools/codex/runs/20260301_011534_EF0A/C_features/FILES/packages/contracts/src/domain/pitch,6,65559,0.06
tools/codex/runs/20260304_174343_8C66/_context,13,65329,0.06
tools/codex/runs/20260304_174651_DBC8/_context,13,64711,0.06
tools/codex/runs/20260304_131500_RR01/_context,11,62626,0.06
tools/codex/runs/20260304_130900_QA11/_context,11,62582,0.06
tools/codex/Z_aggregator/RUN_20260223_191144_bfbb7c,6,61263,0.06
tools/codex/_triage/snapshots/SNAP_20260226_1/meta,1,60815,0.06
apps/keystone/components/scene-studio,10,59258,0.06
docs/factory,33,58889,0.06
tools/codex/_debug,12,58345,0.06
